AnalysisMode	Contrast	plotContrast	Metabolite	Ratio_Change	FoldChange	pValue	padj
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.578/169.01696	2.0425178945223226	1.0303487178938595	0.1681451612903226	0
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.110/169.04442	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.836/169.08766	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.045/169.12410	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.972/170.03945	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	3.035/170.83383	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.580/170.94652	0.49067521838131495	-1.0271596851506837	0.11935483870967742	0
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.607/170.99509	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.827/171.00664	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.582/171.07759	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.668/171.10344	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.117/172.00782	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.559/172.01528	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.127/172.09805	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.820/172.13412	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.721/172.83022	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.568/173.00859	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.552/173.02530	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.566/173.09396	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.673/173.11856	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.639/174.02404	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.556/174.07704	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.239/174.11387	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.167/174.82825	3.071476462490422	1.6189323276031673	0.0064516129032258064	0
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.551/175.02539	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.573/175.06107	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.576/176.02719	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.869/176.03857	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.569/176.09338	NA	NA	NA	NA
