"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"1.236/186.05185",-0.015209,-0.030701,-0.008257,-0.0065069,-0.026691,0.014691,-0.0074718,-0.0075142,-0.014198,0.044421,0.010228,-0.0041433
"2.780/187.49059",-0.012934,-0.0057329,-0.011585,0.011991,0.00040755,0.013204,0.023349,-0.025824,0.0066454,0.016858,-0.026323,-0.00049168
"1.728/188.03682",-0.0024817,-0.014202,0.0037772,-0.015021,0.014416,0.018514,-0.0064082,0.031805,0.0051296,-0.0031754,0.014289,-0.00072114
"2.723/188.03809",-0.017358,-0.0060048,-0.013739,-0.026043,0.012998,0.010781,-0.0084275,0.036447,-0.0034188,-0.0065316,0.0092396,-0.0016243
"2.529/188.06787",0.009853,-0.0075019,-0.003387,-0.0064376,0.012461,0.017796,0.013326,-0.021308,0.030437,0.046486,0.0093564,0.0021057
"2.779/188.07127",-0.010983,-0.010271,-0.0037491,0.0014247,0.0015541,0.0037164,0.024774,-0.025848,0.019959,0.023929,0.0054011,0.0027424
"3.676/188.54377",0.0033114,0.023681,-0.01877,-0.00074381,-0.0023424,-0.012095,-0.001073,0.0019551,-0.013007,0.0087908,-0.0070688,-0.0013652
"0.640/188.91950",0.0086749,0.00909,-0.0044233,0.0099718,-0.014608,0.0065652,0.020995,-0.0063168,-0.01122,-0.014553,0.0022708,-0.0011468
"3.676/189.12796",0.0003376,0.023847,-0.0046974,0.0076997,0.0032218,-0.0034028,0.0040563,-0.011647,-0.020488,-0.0017957,0.004012,-0.0022328
"0.842/189.16096",0.0070234,-0.021104,0.042687,0.007169,0.0079245,-0.020314,0.02246,0.0074421,-0.0022848,0.010716,-0.00074706,0.0015146
"1.330/190.07132",0.023036,0.0087961,0.01644,0.052693,0.01657,0.017843,0.023772,0.023254,-0.0078163,-0.0070363,-0.0082496,-0.0017079
"0.901/190.10777",0.00076845,-0.030315,0.012755,-0.00066059,0.01503,-0.0010666,-0.0035385,-0.018132,0.01691,-0.0010836,-0.0053273,-0.0021101
"2.705/190.14351",-0.0073056,0.0079677,0.020512,0.057955,0.01241,-0.093668,-0.039591,0.045131,-0.026648,-0.019078,0.086412,0.010741
"0.830/193.03493",-0.019801,-0.028807,-0.0048941,-0.065658,0.010614,0.017542,0.0032905,-0.022445,-0.0085838,0.02904,0.0021833,-0.0073874
"2.714/194.16460",-0.01038,0.011072,0.0099338,0.019662,0.00155,0.010919,0.011161,0.0075613,-0.0034684,-0.029182,0.027576,-0.0028331
"0.835/196.10859",-0.024073,-0.0031271,-0.035386,-0.0095814,0.0036829,0.020682,0.0066293,0.032231,-0.03692,-0.010812,-0.0099488,-0.0013767
"1.270/198.07295",0.016925,-0.00239,0.012479,-0.032644,0.013425,0.011423,-0.019375,0.0024251,-0.01612,0.016547,-0.016169,-0.002555
"0.785/199.99574",0.025203,0.026395,-0.019872,0.0033129,-0.0045825,-0.0083941,-0.016501,0.0033641,-0.0095325,0.013744,-0.0055688,0.0008252
"1.641/200.03779",-0.01414,-0.0067481,-6.4619e-05,-0.0021484,-0.053072,-0.024288,-0.035985,0.015585,-0.025276,-0.016648,-0.0017374,-0.00044483
"1.155/200.14949",0.0036115,-0.030024,-0.0042564,-0.00075082,-0.0023767,0.0052962,0.022831,0.0060921,-0.034458,0.018853,0.033018,0.0024655
"1.594/200.15072",0.0080042,-0.024364,0.02935,-0.0073517,0.035445,0.012934,0.0085021,-0.0054801,0.0023175,0.0086998,0.00021282,-0.0051282
"1.725/202.04732",-0.019796,-0.00036226,0.0023343,0.011905,0.031139,0.033501,0.010325,0.0091503,0.016638,0.0072321,0.021866,0.0019829
"2.756/202.05365",0.012612,-0.021429,0.013914,0.0047351,-0.0071415,-0.016245,0.01571,0.024148,0.014698,0.022646,-0.014504,0.0013579
"0.826/202.06525",-0.020764,-0.0071538,0.022315,0.020883,-0.0030407,0.011182,-0.0075158,-0.0053403,-0.0013031,-0.022479,-0.0086496,0.0032212
"0.984/202.07102",-0.0044282,0.013791,-0.026621,-0.019834,-0.0049602,0.03152,0.031571,0.043308,0.0005267,-0.012206,-0.01051,0.0060843
"1.270/203.49347",0.00067655,0.023967,-0.011952,-0.0037579,0.0035238,-0.013638,-0.004457,-0.029838,0.01276,-0.05294,-0.017429,0.0020884
"1.653/204.12334",-0.012569,0.019299,-0.01757,-0.001095,0.0018616,-0.0057459,-0.011994,-0.0093495,0.010158,0.0028752,-0.0042036,-0.0022919
"1.270/204.12428",-0.00086773,0.019836,0.001848,-0.00053702,0.02768,-0.017848,-0.0036204,0.0037206,0.025906,-0.037313,-0.014702,-0.0015525
"2.781/204.46338",-0.010331,-0.005874,-0.0082727,-0.0095481,0.029034,0.021381,-0.01912,0.017561,0.053957,0.04403,-0.064373,0.0005515
"2.780/205.09769",-0.011293,-0.01342,-0.0021242,0.0082049,0.0062348,0.0070182,0.027392,-0.013379,0.027005,0.016592,0.0029869,0.001702
"0.878/206.05466",-0.0015533,0.024972,-0.0095184,0.0036401,0.0046497,0.02703,-0.01958,0.0063499,-0.013696,0.022147,0.029702,0.0012598
"2.708/206.06539",0.011099,0.0059631,-0.0086698,-0.029981,0.022238,0.0053284,-0.012809,0.00054478,0.046576,0.01516,0.00685,-0.0009481
"0.627/206.45420",0.015833,0.0051963,0.0038534,0.015066,0.01269,2.3131e-05,0.034266,-0.012737,0.057238,0.061015,-0.007391,-0.0017046
"0.764/208.97178",0.023661,0.04496,-0.040688,0.022225,-0.02227,-0.018122,0.037563,-0.0018368,-0.0085329,0.033562,0.0029368,-0.0035051
"0.642/209.43332",0.0092571,0.0065664,-0.0017269,0.023343,-0.0023805,0.0056704,0.016469,0.011816,-0.0078159,0.0059994,0.030473,-0.0019291
"1.608/210.01287",-0.021856,0.0062127,0.0066228,0.00081316,-0.0090441,0.017135,0.01105,0.016932,0.0089237,0.024659,0.0095828,0.0022539
"2.350/210.07628",-0.019621,-0.019727,0.025476,0.010932,-0.0012922,-0.013782,-0.018304,0.024057,-0.0047078,0.010195,0.00044226,-0.00056386
"0.644/210.43248",0.0087261,0.0048464,-0.0059395,0.030051,0.013967,0.012883,0.015471,-0.0001852,-0.023104,-0.00013094,-0.0099767,-0.00036385
"2.357/212.09213",0.0097069,-0.024741,0.037711,0.0031581,0.016553,-0.011771,0.0036268,-0.015475,-0.014925,0.0070216,-0.0072847,-0.0033357
"2.694/213.03650",0.0029919,-0.020889,-0.028751,-0.01098,0.018831,-0.039758,-0.016252,-0.033008,0.004165,-0.014472,-0.0032822,-0.002892
"1.105/214.06473",-0.017969,-0.0061805,-0.0045086,-0.00035024,0.012515,0.023515,-0.0052448,-0.041276,0.0090448,-0.0022743,0.0021263,0.0017009
"0.828/214.35504",-0.023955,-0.026022,-0.0092056,-0.081141,-0.00079397,0.029636,-0.019135,-0.027738,-0.0087878,0.016042,0.016302,-0.003636
"0.834/215.01605",-0.023543,-0.029775,0.00043312,-0.07192,-0.00076246,0.01341,4.608e-05,-0.019801,6.5851e-05,0.010834,0.0033808,0.00082234
"1.067/215.01609",0.019939,-0.0022174,0.0068108,-0.031031,0.012166,0.0023496,0.0040009,-0.033085,-0.020211,-0.011245,0.032478,0.00022233
