"",f.value,p.value,-log10(p),FDR,Fisher's LSD
0.569/230.15631,12.869,0.00091405,3.039,0.0085749,AC9.1 - AC9.2; AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2; E30 - QC
4.659/350.15565,12.82,0.00092691,3.033,0.0086477,AC9.3 - AC9.1; AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; AC9.3 - QC; QC - E30
4.768/314.05898,12.765,0.000942,3.0259,0.0087377,AC9.2 - AC9.1; AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
3.676/156.04205,12.747,0.00094684,3.0237,0.0087377,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - AC9.3
6.010/459.28609,12.699,0.00096028,3.0176,0.0087836,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
4.556/744.27475,12.692,0.00096216,3.0168,0.0087836,AC9.3 - AC9.1; QC - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; QC - E30
4.717/338.18887,12.669,0.00096866,3.0138,0.0087956,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.3 - AC9.2; QC - AC9.2
0.752/115.75082,12.645,0.00097539,3.0108,0.0088097,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3
0.807/124.07393,12.594,0.00099004,3.0043,0.0088946,AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3
4.420/443.16322,12.524,0.0010107,2.9954,0.0090053,AC9.1 - AC9.3; AC9.1 - QC; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.777/450.76485,12.517,0.001013,2.9944,0.0090053,AC9.2 - AC9.1; AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.2 - E30
4.933/442.97479,12.372,0.0010573,2.9758,0.0093501,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
5.112/599.31479,12.289,0.0010837,2.9651,0.0094922,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; AC9.3 - E30; QC - E30
4.544/348.17784,12.282,0.0010861,2.9641,0.0094922,AC9.3 - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC
