Sample	QC_I	AC9.3_I	AC9.3_II	AC9.1_I	AC9.1_II	pPTGE30_I	AC9.2_I	pPTGE30_II	AC9.3_III	AC9.1_III	pPTGE30_III	AC9.2_III	AC9.2_II	QC_II
Label	QC	AC9.3	AC9.3	AC9.1	AC9.1	E30	AC9.2	E30	AC9.3	AC9.1	E30	AC9.2	AC9.2	QC
1.248/145.04828	0	34033	31086	32184	37953	34031	33406	34118	24584	37509	30745	32975	31601	0
0.776/145.04843	0	13767	12988	18486	15764	19824	18312	15307	14318	23650	15959	17545	16310	0
3.677/145.09722	0	1053	2823	490	934	1387	574	1015	979	965	1405	706	1069	0
0.569/145.10027	0	6014	5028	6055	5186	6306	4616	6162	5521	5814	6492	5124	5200	0
1.671/145.13199	0	2489	2993	2941	4453	8133	3131	17558	1625	2390	5649	5175	2501	0
1.169/145.13233	0	169	229	175	1099	517	240	1106	483	598	446	216	508	0
1.422/145.66778	0	1236	1194	2711	1230	1824	1134	1918	1200	2018	1962	1120	1028	0
0.818/145.66846	0	1360	1692	2739	2185	1643	1709	1376	1588	2672	1514	1874	1531	0
4.434/146.07980	0	2475	2570	1543	1839	1367	2478	1106	2074	1441	1041	2101	2152	0
1.053/146.07995	0	2911	2565	3517	3327	2179	2822	1824	2312	2806	2301	2936	2753	0
3.644/146.08098	0	131924	189294	56716	43542	94362	79701	80563	30271	30175	78502	43795	53177	0
0.687/146.11679	0	58309	37386	37789	43650	21445	43022	16196	39576	47291	17233	52052	42455	0
0.817/146.11715	0	284464	316393	604154	491151	355144	373829	238556	347528	546883	250072	389852	319285	0
1.425/146.11740	0	241123	270363	512166	239526	443290	247627	410864	287032	404490	416849	258488	214529	0
1.361/146.11769	0	140131	196905	333145	93818	283253	141169	267301	149424	164359	251113	136907	125953	0
4.737/146.65878	0	2124	1793	2726	1838	2082	2537	2002	1430	1436	1541	2170	1854	0
0.660/147.06426	0	1006	1536	1305	1098	2087	1300	939	2045	1014	1985	859	682	0
5.161/147.07459	0	1291	1251	1435	1745	1117	524	1366	758	1511	803	476	503	0
5.835/147.07512	0	969	807	1316	1736	1639	1251	1107	871	1887	2027	1138	1350	0
4.306/147.07529	0	2885	2499	2003	3095	3190	1569	2092	1700	4986	3306	1781	2064	0
0.669/147.09051	0	15666	8078	17686	17243	10256	16731	19944	894	30167	21850	29346	17038	0
4.407/147.11206	0	5414	4288	4109	4684	7999	5184	11157	3977	4185	7137	6497	6370	0
4.739/147.11252	0	372396	351755	403697	323841	366511	364662	392197	288608	375605	298555	363614	342139	0
0.569/147.11604	0	9201	7967	9623	8217	10241	7105	10008	8512	9186	10025	7235	7417	0
4.408/148.05826	0	4082	3825	2673	3113	3580	1975	3865	2222	3660	3670	2226	3773	0
4.315/148.05910	0	4561	3317	2294	3031	3759	1796	4215	1791	4296	3588	1886	2168	0
5.793/148.05977	0	2778	2719	3303	3124	3358	2630	3501	2066	3278	2804	2280	2632	0
0.777/148.08533	0	1303	902	937	1221	915	1411	2372	194	2175	2057	2420	1369	0
1.169/148.08623	0	4607	3534	4938	4889	4777	6643	9629	1582	8234	7994	8502	5733	0
2.956/148.09589	0	54422	29972	102536	134179	71245	81497	61219	40642	51208	69881	125939	98120	0
1.689/148.13216	0	2316	1793	3652	2369	5263	3491	5055	907	2222	4142	3552	2874	0
4.910/148.14308	0	411	759	1084	887	1327	1100	1238	547	766	1451	1241	1103	0
2.127/148.60411	0	549	904	1029	644	1010	1251	865	804	958	530	875	999	0
1.627/149.06140	0	5639	4752	2359	2195	1377	3952	1339	3328	1661	1276	3700	3634	0
0.702/149.06224	0	3644	1255	1984	2016	758	4258	1818	120	2811	2120	5433	3606	0
2.235/149.06228	0	75614	54689	73562	74269	60437	84379	57538	62982	73484	44490	87688	75166	0
2.127/149.06236	0	135396	141592	138956	135542	126292	139386	110466	131286	130077	105792	156567	144841	0
0.569/149.09529	0	2829	2509	3333	2603	3197	2173	2804	3071	2656	3023	2453	2775	0
0.745/149.10571	0	4001	3159	3558	3734	3132	3686	2751	3486	3698	2768	3840	3003	0
1.327/150.05380	0	367	202	464	376	435	558	554	58	525	712	1138	571	0
1.164/150.05389	0	552	258	708	634	871	1190	966	336	860	1157	1269	1264	0
0.738/150.09049	0	1036	1061	684	547	933	676	809	808	578	1243	611	478	0
4.493/150.97823	0	744	149	0	0	1440	411	1335	58	0	759	888	340	0
5.458/151.03452	0	10138	10339	10238	10604	10178	10252	9718	10290	9917	9853	9972	10811	0
3.660/151.04131	0	1025	1079	495	425	663	720	656	788	450	828	557	608	0
2.128/151.05779	0	6089	5908	6275	5828	5876	6418	5319	5723	6002	4705	6539	7290	0
2.260/151.05895	0	3511	3703	3692	3572	3805	4328	3145	3696	2993	1642	2905	3678	0
0.577/151.07449	0	390	502	812	411	486	390	481	952	484	554	387	459	0
1.442/151.08513	0	0	0	1034	325	508	890	1515	0	765	1808	1107	388	0
0.719/151.08571	0	420	721	950	1282	890	475	602	805	1082	575	480	561	0
0.677/151.12273	0	47787	28502	45275	42910	33498	49011	35277	24485	53190	40085	59542	38479	0
3.663/152.05558	0	5943	11299	2227	2191	6916	2916	6745	12013	1758	9522	1465	1828	0
4.849/152.05626	0	3223	2197	3643	2481	2539	3211	2830	1302	3830	2847	3580	4716	0
4.377/152.06803	0	1109	734	743	1264	806	1177	909	866	1212	1041	1046	968	0
0.710/152.06980	0	5460	3359	4579	5342	4112	5364	5177	1473	5864	5888	6258	5189	0
2.915/152.07027	0	2749	1803	3709	2530	2489	3314	2465	2268	2812	3005	3790	3385	0
